"SourceContinent","ExporterContinent","ConsumerContinent","year","Nutrient","Unit","Value","rec_intake_adults","rni_amount"
"Africa","Europe","PICs",2020,"Calcium","mg",681720.608103732,1300,524.400467772102
"Africa","Europe","PICs",2020,"Zinc","mg",62317.7306846464,11,5665.24824405877
"Africa","Europe","PICs",2020,"Iron","mg",130568.396297401,18,7253.79979430005
"Africa","Europe","PICs",2020,"Vitamina","mcg",1183804.55189072,900,1315.33839098969
"Africa","Europe","PICs",2020,"Vitaminb12","mcg",549850.707089207,2.4,229104.46128717
"Africa","Oceania","Africa",2009,"Protein","g",911412.25187721,50,18228.2450375442
"Africa","Oceania","Africa",2009,"Fattyacids","g",54661.9456099723,1.4,39044.2468642659
"Africa","Oceania","Africa",2009,"Calcium","mg",2373335.13378,1300,1825.6424106
"Africa","Oceania","Africa",2009,"Zinc","mg",43662.375810203,11,3969.30689183664
"Africa","Oceania","Africa",2009,"Iron","mg",66826.4486782951,18,3712.5804821275
"Africa","Oceania","Africa",2009,"Vitamina","mcg",1505798.71305217,900,1673.10968116907
"Africa","Oceania","Africa",2009,"Vitaminb12","mcg",446636.557483741,2.4,186098.565618226
"Africa","Oceania","Africa",2010,"Protein","g",1375776.76375879,50,27515.5352751757
"Africa","Oceania","Africa",2010,"Fattyacids","g",96292.9469425362,1.4,68780.6763875259
"Africa","Oceania","Africa",2010,"Calcium","mg",4481692.91076257,1300,3447.45608520198
"Africa","Oceania","Africa",2010,"Zinc","mg",75140.6264962755,11,6830.96604511595
"Africa","Oceania","Africa",2010,"Iron","mg",130750.609209207,18,7263.92273384483
"Africa","Oceania","Africa",2010,"Vitamina","mcg",4079663.85638315,900,4532.95984042572
"Africa","Oceania","Africa",2010,"Vitaminb12","mcg",829722.020015451,2.4,345717.508339771
"Africa","Oceania","Africa",2011,"Protein","g",17011613.6442958,50,340232.272885915
"Africa","Oceania","Africa",2011,"Fattyacids","g",1596326.45119258,1.4,1140233.17942327
"Africa","Oceania","Africa",2011,"Calcium","mg",77653159.9703883,1300,59733.1999772217
"Africa","Oceania","Africa",2011,"Zinc","mg",1192552.12070271,11,108413.829154792
"Africa","Oceania","Africa",2011,"Iron","mg",1786694.8795297,18,99260.8266405391
"Africa","Oceania","Africa",2011,"Vitamina","mcg",33469363.9740359,900,37188.1821933732
"Africa","Oceania","Africa",2011,"Vitaminb12","mcg",12345244.0454906,2.4,5143851.68562108
"Africa","Oceania","Africa",2013,"Protein","g",255484.716484155,50,5109.6943296831
"Africa","Oceania","Africa",2013,"Fattyacids","g",24196.7006617268,1.4,17283.3576155191
"Africa","Oceania","Africa",2013,"Calcium","mg",986792.820282715,1300,759.071400217473
"Africa","Oceania","Africa",2013,"Zinc","mg",16424.0174882671,11,1493.09249893337
"Africa","Oceania","Africa",2013,"Iron","mg",28387.1907204617,18,1577.06615113676
"Africa","Oceania","Africa",2013,"Vitamina","mcg",608296.944009893,900,675.885493344326
"Africa","Oceania","Africa",2013,"Vitaminb12","mcg",212228.044910118,2.4,88428.3520458825
"Africa","Oceania","Africa",2014,"Protein","g",2765977.52351589,50,55319.5504703178
"Africa","Oceania","Africa",2014,"Fattyacids","g",261680.132398898,1.4,186914.380284927
"Africa","Oceania","Africa",2014,"Calcium","mg",10597187.5482686,1300,8151.68272943742
"Africa","Oceania","Africa",2014,"Zinc","mg",177394.105271754,11,16126.7368428867
"Africa","Oceania","Africa",2014,"Iron","mg",299685.372199222,18,16649.1873444012
"Africa","Oceania","Africa",2014,"Vitamina","mcg",6377255.51479229,900,7085.83946088032
"Africa","Oceania","Africa",2014,"Vitaminb12","mcg",2237316.16973074,2.4,932215.070721141
"Africa","Oceania","Africa",2015,"Protein","g",706996.180419548,50,14139.923608391
"Africa","Oceania","Africa",2015,"Fattyacids","g",66713.6899966413,1.4,47652.6357118867
"Africa","Oceania","Africa",2015,"Calcium","mg",2631033.94959619,1300,2023.87226892015
"Africa","Oceania","Africa",2015,"Zinc","mg",43002.2118020057,11,3909.29198200052
"Africa","Oceania","Africa",2015,"Iron","mg",73796.0204425173,18,4099.77891347318
"Africa","Oceania","Africa",2015,"Vitamina","mcg",1551428.88498691,900,1723.80987220767
"Africa","Oceania","Africa",2015,"Vitaminb12","mcg",540155.264904737,2.4,225064.693710307
"Africa","Oceania","Africa",2016,"Protein","g",2428162.01339433,50,48563.2402678866
"Africa","Oceania","Africa",2016,"Fattyacids","g",227841.99906055,1.4,162744.28504325
"Africa","Oceania","Africa",2016,"Calcium","mg",9455885.11317076,1300,7273.75777936212
"Africa","Oceania","Africa",2016,"Zinc","mg",144071.673761147,11,13097.424887377
"Africa","Oceania","Africa",2016,"Iron","mg",231211.261017796,18,12845.0700565442
"Africa","Oceania","Africa",2016,"Vitamina","mcg",4421901.89524663,900,4913.22432805182
"Africa","Oceania","Africa",2016,"Vitaminb12","mcg",1585306.84788806,2.4,660544.519953356
"Africa","Oceania","Africa",2017,"Protein","g",1678597.59429139,50,33571.9518858277
"Africa","Oceania","Africa",2017,"Fattyacids","g",157501.477358674,1.4,112501.055256196
"Africa","Oceania","Africa",2017,"Calcium","mg",7295036.4164707,1300,5611.56647420823
"Africa","Oceania","Africa",2017,"Zinc","mg",106966.045708978,11,9724.18597354343
"Africa","Oceania","Africa",2017,"Iron","mg",161885.221488044,18,8993.62341600245
"Africa","Oceania","Africa",2017,"Vitamina","mcg",2879324.65763484,900,3199.24961959426
"Africa","Oceania","Africa",2017,"Vitaminb12","mcg",1076177.56392628,2.4,448407.318302618
"Africa","Oceania","Africa",2018,"Protein","g",519799.868410456,50,10395.9973682091
"Africa","Oceania","Africa",2018,"Fattyacids","g",48721.3612216024,1.4,34800.9723011445
"Africa","Oceania","Africa",2018,"Calcium","mg",1996705.37903139,1300,1535.92721463953
"Africa","Oceania","Africa",2018,"Zinc","mg",30253.6840054146,11,2750.33490958314
"Africa","Oceania","Africa",2018,"Iron","mg",48448.5235809718,18,2691.58464338732
"Africa","Oceania","Africa",2018,"Vitamina","mcg",919412.734996074,900,1021.56970555119
"Africa","Oceania","Africa",2018,"Vitaminb12","mcg",329309.739560121,2.4,137212.391483384
"Africa","Oceania","Africa",2019,"Protein","g",48020.9003267128,50,960.418006534256
"Africa","Oceania","Africa",2019,"Fattyacids","g",4479.28286936394,1.4,3199.48776383139
"Africa","Oceania","Africa",2019,"Calcium","mg",241906.088633339,1300,186.08160664103
"Africa","Oceania","Africa",2019,"Zinc","mg",3225.4670987091,11,293.224281700827
"Africa","Oceania","Africa",2019,"Iron","mg",4242.97359463258,18,235.720755257366
"Africa","Oceania","Africa",2019,"Vitamina","mcg",58068.4540227385,900,64.5205044697095
"Africa","Oceania","Africa",2019,"Vitaminb12","mcg",24627.8068029962,2.4,10261.5861679151
"Africa","Oceania","Americas",2007,"Protein","g",4047930.75878894,50,80958.6151757789
"Africa","Oceania","Americas",2007,"Fattyacids","g",319098.618970627,1.4,227927.58497902
"Africa","Oceania","Americas",2007,"Calcium","mg",11934909.7796985,1300,9180.6998305373
"Africa","Oceania","Americas",2007,"Zinc","mg",235507.569729759,11,21409.7790663417
"Africa","Oceania","Americas",2007,"Iron","mg",428947.141625078,18,23830.3967569488
"Africa","Oceania","Americas",2007,"Vitamina","mcg",7711399.55106942,900,8568.22172341047
"Africa","Oceania","Americas",2007,"Vitaminb12","mcg",2901167.92338443,2.4,1208819.96807685
"Africa","Oceania","Americas",2008,"Protein","g",170745720.084217,50,3414914.40168434
"Africa","Oceania","Americas",2008,"Fattyacids","g",13138177.2773474,1.4,9384412.34096245
"Africa","Oceania","Americas",2008,"Calcium","mg",526756571.938761,1300,405197.363029816
"Africa","Oceania","Americas",2008,"Zinc","mg",9352373.51112326,11,850215.773738479
"Africa","Oceania","Americas",2008,"Iron","mg",16644182.8440148,18,924676.824667491
"Africa","Oceania","Americas",2008,"Vitamina","mcg",376538563.136818,900,418376.181263131
"Africa","Oceania","Americas",2008,"Vitaminb12","mcg",111708550.62345,2.4,46545229.4264374
"Africa","Oceania","Americas",2009,"Protein","g",120887390.375095,50,2417747.8075019
"Africa","Oceania","Americas",2009,"Fattyacids","g",9248306.76303818,1.4,6605933.40217013
"Africa","Oceania","Americas",2009,"Calcium","mg",359650559.389466,1300,276654.276453435
"Africa","Oceania","Americas",2009,"Zinc","mg",5958968.89687664,11,541724.445170604
"Africa","Oceania","Americas",2009,"Iron","mg",10087232.4121438,18,560401.800674654
"Africa","Oceania","Americas",2009,"Vitamina","mcg",196252384.154097,900,218058.204615664
"Africa","Oceania","Americas",2009,"Vitaminb12","mcg",68304672.729782,2.4,28460280.3040758
"Africa","Oceania","Americas",2010,"Protein","g",85749158.0636985,50,1714983.16127397
"Africa","Oceania","Americas",2010,"Fattyacids","g",7532950.97139666,1.4,5380679.26528333
"Africa","Oceania","Americas",2010,"Calcium","mg",311745732.399116,1300,239804.409537782
"Africa","Oceania","Americas",2010,"Zinc","mg",5217545.47902148,11,474322.31627468
"Africa","Oceania","Americas",2010,"Iron","mg",9020001.50535973,18,501111.194742207
"Africa","Oceania","Americas",2010,"Vitamina","mcg",206162063.401847,900,229068.959335386
"Africa","Oceania","Americas",2010,"Vitaminb12","mcg",64897371.3315538,2.4,27040571.3881474
"Africa","Oceania","Americas",2011,"Protein","g",4200028.5985074,50,84000.5719701479
"Africa","Oceania","Americas",2011,"Fattyacids","g",299380.187158117,1.4,213842.990827227
"Africa","Oceania","Americas",2011,"Calcium","mg",12917584.8231068,1300,9936.60371008216
"Africa","Oceania","Americas",2011,"Zinc","mg",251277.404826161,11,22843.4004387419
"Africa","Oceania","Americas",2011,"Iron","mg",348603.033636696,18,19366.8352020387
"Africa","Oceania","Americas",2011,"Vitamina","mcg",7218749.83998439,900,8020.83315553822
"Africa","Oceania","Americas",2011,"Vitaminb12","mcg",1433576.18200943,2.4,597323.409170595
"Africa","Oceania","Americas",2012,"Protein","g",29790471.8877623,50,595809.437755246
"Africa","Oceania","Americas",2012,"Fattyacids","g",2396974.5526297,1.4,1712124.68044978
"Africa","Oceania","Americas",2012,"Calcium","mg",97447219.6419879,1300,74959.3997246061
"Africa","Oceania","Americas",2012,"Zinc","mg",1748745.7232822,11,158976.883934745
"Africa","Oceania","Americas",2012,"Iron","mg",2941484.63762781,18,163415.813201545
"Africa","Oceania","Americas",2012,"Vitamina","mcg",64159976.1381381,900,71288.8623757091
"Africa","Oceania","Americas",2012,"Vitaminb12","mcg",20108844.8050096,2.4,8378685.33542068
"Africa","Oceania","Americas",2013,"Protein","g",2260188.69120461,50,45203.7738240921
"Africa","Oceania","Americas",2013,"Fattyacids","g",70632.4792816436,1.4,50451.7709154597
"Africa","Oceania","Americas",2013,"Calcium","mg",2385633.55246479,1300,1835.10273266522
"Africa","Oceania","Americas",2013,"Zinc","mg",75720.9615439747,11,6883.72377672497
"Africa","Oceania","Americas",2013,"Iron","mg",117211.335691481,18,6511.74087174896
"Africa","Oceania","Americas",2013,"Vitamina","mcg",2048483.76019991,900,2276.09306688879
"Africa","Oceania","Americas",2013,"Vitaminb12","mcg",452065.329471273,2.4,188360.553946364
"Africa","Oceania","Americas",2014,"Protein","g",6404494.14410377,50,128089.882882075
"Africa","Oceania","Americas",2014,"Fattyacids","g",194588.805154943,1.4,138992.003682102
"Africa","Oceania","Americas",2014,"Calcium","mg",6499702.64662729,1300,4999.77126663638
"Africa","Oceania","Americas",2014,"Zinc","mg",189561.747689224,11,17232.8861535658
"Africa","Oceania","Americas",2014,"Iron","mg",262143.186920085,18,14563.5103844492
"Africa","Oceania","Americas",2014,"Vitamina","mcg",6222049.78003708,900,6913.38864448565
"Africa","Oceania","Americas",2014,"Vitaminb12","mcg",677131.770608052,2.4,282138.237753355
"Africa","Oceania","Americas",2015,"Protein","g",699512.285940019,50,13990.2457188004
"Africa","Oceania","Americas",2015,"Fattyacids","g",33631.515816093,1.4,24022.5112972093
"Africa","Oceania","Americas",2015,"Calcium","mg",768865.467809945,1300,591.434975238419
"Africa","Oceania","Americas",2015,"Zinc","mg",23353.8177191239,11,2123.07433810217
"Africa","Oceania","Americas",2015,"Iron","mg",42652.2452652325,18,2369.56918140181
"Africa","Oceania","Americas",2015,"Vitamina","mcg",906141.577489859,900,1006.82397498873
"Africa","Oceania","Americas",2015,"Vitaminb12","mcg",131879.641475294,2.4,54949.8506147057
"Africa","Oceania","Americas",2016,"Protein","g",3365916.13617652,50,67318.3227235304
"Africa","Oceania","Americas",2016,"Fattyacids","g",47761.8275994534,1.4,34115.5911424667
"Africa","Oceania","Americas",2016,"Calcium","mg",1526803.06181377,1300,1174.4638937029
"Africa","Oceania","Americas",2016,"Zinc","mg",91008.5791762215,11,8273.50719783832
"Africa","Oceania","Americas",2016,"Iron","mg",157139.058594932,18,8729.94769971843
"Africa","Oceania","Americas",2016,"Vitamina","mcg",2562915.93467713,900,2847.68437186348
"Africa","Oceania","Americas",2016,"Vitaminb12","mcg",571419.654732449,2.4,238091.522805187
"Africa","Oceania","Americas",2017,"Protein","g",9232400.19499543,50,184648.003899909
"Africa","Oceania","Americas",2017,"Fattyacids","g",371059.759363923,1.4,265042.685259945
"Africa","Oceania","Americas",2017,"Calcium","mg",17811207.9786328,1300,13700.9292143329
"Africa","Oceania","Americas",2017,"Zinc","mg",355207.555073136,11,32291.5959157396
"Africa","Oceania","Americas",2017,"Iron","mg",464920.849971274,18,25828.9361095152
"Africa","Oceania","Americas",2017,"Vitamina","mcg",9419116.14985145,900,10465.6846109461
"Africa","Oceania","Americas",2017,"Vitaminb12","mcg",2296941.96918607,2.4,957059.153827527
"Africa","Oceania","Americas",2018,"Protein","g",12555240.4441183,50,251104.808882366
"Africa","Oceania","Americas",2018,"Fattyacids","g",862000.588910446,1.4,615714.706364604
"Africa","Oceania","Americas",2018,"Calcium","mg",32793797.5490208,1300,25225.9981146314
"Africa","Oceania","Americas",2018,"Zinc","mg",652768.711048171,11,59342.6100952883
"Africa","Oceania","Americas",2018,"Iron","mg",998277.750629308,18,55459.8750349616
"Africa","Oceania","Americas",2018,"Vitamina","mcg",16752088.3583072,900,18613.4315092302
"Africa","Oceania","Americas",2018,"Vitaminb12","mcg",6219001.51181352,2.4,2591250.6299223
"Africa","Oceania","Americas",2019,"Protein","g",4325098.99043787,50,86501.9798087574
"Africa","Oceania","Americas",2019,"Fattyacids","g",307474.348256714,1.4,219624.534469082
"Africa","Oceania","Americas",2019,"Calcium","mg",9870024.50561651,1300,7592.32654278193
"Africa","Oceania","Americas",2019,"Zinc","mg",261501.229766225,11,23772.8390696568
