"Country","average_fulfillment_ratio","min_fulfillment_ratio","nutrient_deficiency_count","rni_avg_zscore"
"IND",0.0162702970127946,0.000985953741858626,7,0.108490725132907
"IRL",-0.567969336856541,-2.37832198586982,7,-0.126625728994619
"IRN",0.0654705367004147,0.00393417804273787,7,0.141831999259641
"IRQ",0.00806338032340047,0.000465523915243353,7,0.0985826231333857
"ISL",-30.7752350556953,-135.843685355415,7,-12.082855814483
"ISR",0.138112742634384,0.00761734858394645,6,0.153456631406111
"ITA",0.184629317169578,0.0111395686746812,6,0.185666773414417
"JAM",0.255948159717333,0.0125207047310654,6,0.204270091430537
"JOR",0.0424570856971554,0.00223995237346267,7,0.112922977821511
"JPN",0.506735410287796,0.0230354394822309,5,0.287840392737558
"KAZ",0,0,7,0.0933216767749703
"KEN",0.00693664666842046,0.000313610975122364,7,0.0965895230606814
"KGZ",0,0,7,0.0933216767749703
"KHM",0.0588547910366877,0.00331062544307722,7,0.125019876091136
"KIR",-2.88313153904248,-15.1908343679762,7,-0.796976603843495
"KNA",1.33568061922639,0.0323421923894496,4,0.634570428733846
"KOR",0.425391221229964,0.0262598051730678,5,0.294656777743164
"KWT",0.0884493057345754,0.00552753176384218,7,0.148142265145384
"LAO",0,0,7,0.0933216767749703
"LBN",0.0577178023613351,0.00286255091058116,7,0.121971721943749
"LBR",0.0924570061666761,0.00401189364231326,7,0.136978916376307
"LBY",0.146496704307577,0.00568351607379193,6,0.156885205782977
"LCA",0.257167188809401,0.0110397733644655,6,0.211997526357309
"LKA",0.288138160745573,0.0133808956133721,6,0.2183128863505
"LSO",0,0,7,0.0933216767749703
"LTU",0.491605042711997,0.0287301732446286,5,0.285277817430612
"LVA",-0.303294647183784,-1.26121865537741,7,-0.0606979896954768
"MAR",-0.0591114618284071,-0.385427384126479,7,0.0699149979249349
"MDA",0,0,7,0.0933216767749703
"MDG",0.0214320349721817,0.00121359256454822,7,0.103474985127278
"MDV",-0.587536648461737,-3.00451714936392,7,-0.105384471205921
"MEX",0.172174250194914,0.00782806174081165,6,0.175566598803117
"MHL",-10.8707613070819,-56.6884327669423,7,-3.43120187717613
"MKD",0,0,7,0.0933216767749703
"MLI",0,0,7,0.0933216767749703
"MLT",1.34490857400547,0.0706746311079512,4,0.58463226759049
"MMR",0.126467492728761,0.00883093783409572,7,0.159148428868443
"MNE",0.0922355253351788,0.00547019352753839,7,0.138842899657707
"MNG",0,0,7,0.0933216767749703
"MOZ",0.0785318047450338,0.00444473621916191,7,0.127536310080427
"MRT",-1.14650316432367,-5.50759306359441,7,-0.378710024297873
"MUS",0.163843771569666,-0.00324463132414318,6,0.145312663866198
"MWI",0,0,7,0.0933216767749703
"MYS",0.476121554929834,0.0333410335935996,5,0.40296084862035
"NAM",-1.89036067576847,-8.74100623797996,7,-0.569073791633165
"NER",0,0,7,0.0933216767749703
"NGA",0.100386264760483,0.00508800352203361,7,0.134036907443971
"NIC",0.0399126839704741,-0.000139568309634452,7,0.10207586261836
"NLD",-0.0264261001146661,-0.217647104859532,7,0.112135887796891
"NOR",-5.03005244355757,-23.4881245217357,7,-1.71371603344271
"NPL",0,0,7,0.0933216767749703
"NRU",-5.3353535644403,-28.1119183680961,7,-1.59158250434811
"NZL",-0.551495609776224,-2.21618723174263,7,-0.207519628924141
"OMN",0.293127080535984,0.0132969397730501,6,0.447726563549931
"PAK",0.0039053091297668,7.99094748729248e-05,7,0.0975580751727118
"PAN",0.206724826096022,0.00644759088577639,6,0.202507034145225
"PER",0.455822002552278,0.0180540337822036,5,0.401977126930741
"PHL",0.264583368297178,0.0109926988601972,6,0.236525607494611
"PLW",0.0991587229660916,0.00668039643547399,7,0.140590736106685
"PNG",0.0447676832721806,0.00094558592225186,7,0.110275727154812
"POL",0.0792501887658017,0.0004222751705442,7,0.120657328075179
"PRK",0.0586541253256096,0.00336380517332254,7,0.121758451803119
"PRT",0.282989781677665,0.0209140683674198,6,0.259452947995906
"PRY",0,0,7,0.0933216767749703
"PSE",0.0161600137691918,0.000814758485203697,7,0.101131675553422
"QAT",0.149186846145699,0.00888825308720117,6,0.204854208063885
"ROU",0.06209157873179,0.00211338261301364,7,0.116364432102364
"RUS",0.0787020476800272,0.00310586570120253,7,0.121080098530078
"RWA",0,0,7,0.0933216767749703
"SAU",0.0641853412303359,0.00415622751514028,7,0.135178556259492
"SDN",0.0015756838728051,8.68200415716038e-05,7,0.0940596955833589
"SEN",-0.00226676005298326,-0.0313187876050724,7,0.0949623721359246
"SGP",0.349491669609117,0.0306933543810826,6,0.304658696306126
"SLB",-0.131267157443205,-0.817664498965908,7,0.0681204138559279
"SLE",0.334737927965321,0.0136848663204488,6,0.231100349034102
"SLV",-0.0182901181551435,-0.113690001364963,7,0.0911531963537063
"SOM",0.0120708581554502,0.000777354483769266,7,0.0992539374828215
"SRB",0,0,7,0.0933216767749703
"SSD",0,0,7,0.0933216767749703
"STP",0.354954013656143,0.017695349494039,6,0.291003469121872
"SUR",-0.144013097088092,-0.443707455782603,7,-0.00120763101724361
"SVK",0,0,7,0.0933216767749703
"SVN",0.100783357476968,0.00574811638481572,7,0.139399585868769
"SWE",-0.188536332350846,-0.865508812226187,7,0.0275263486375264
"SWZ",0,0,7,0.0933216767749703
"SYC",-6.94637329110075,-34.891112000184,7,-2.46378779803155
"SYR",0.0116272807686839,0.000556893977023058,7,0.0985091024990607
"TCD",0,0,7,0.0933216767749703
"TGO",0.089031442106378,0.00438630167043893,7,0.131855566713836
"THA",0.117802436430145,0.00544557003227738,6,0.151606830778411
"TJK",0,0,7,0.0933216767749703
"TKM",0,0,7,0.0933216767749703
"TLS",0.0699512711488832,0.0031572461639362,7,0.125862336703199
