"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value","rec_intake_adults","rni_amount"
"Asia","Americas","PICs","Protein","g",1036814588.28989,50,20736291.7657979
"Asia","Americas","PICs","Fattyacids","g",105949733.019783,1.4,75678380.7284161
"Asia","Americas","PICs","Calcium","mg",1910445095.53795,1300,1469573.15041381
"Asia","Americas","PICs","Zinc","mg",57223312.6063891,11,5202119.32785355
"Asia","Americas","PICs","Iron","mg",67927306.6486929,18,3773739.25826072
"Asia","Americas","PICs","Vitamina","mcg",1308883887.71394,900,1454315.43079326
"Asia","Americas","PICs","Vitaminb12","mcg",457134035.224152,2.4,190472514.67673
"Asia","Asia","PICs","Protein","g",133123757758.093,50,2662475155.16187
"Asia","Asia","PICs","Fattyacids","g",10578774809.3728,1.4,7556267720.98055
"Asia","Asia","PICs","Calcium","mg",324156080670.445,1300,249350831.284958
"Asia","Asia","PICs","Zinc","mg",6581030784.81959,11,598275525.89269
"Asia","Asia","PICs","Iron","mg",9915392543.31164,18,550855141.295091
"Asia","Asia","PICs","Vitamina","mcg",187123281480.696,900,207914757.200774
"Asia","Asia","PICs","Vitaminb12","mcg",63589330966.7914,2.4,26495554569.4964
"Asia","Europe","PICs","Protein","g",71250391.0351081,50,1425007.82070216
"Asia","Europe","PICs","Fattyacids","g",2041298.04396213,1.4,1458070.03140152
"Asia","Europe","PICs","Calcium","mg",48187234.905982,1300,37067.1037738323
"Asia","Europe","PICs","Zinc","mg",2731230.56220814,11,248293.687473468
"Asia","Europe","PICs","Iron","mg",5123959.18010124,18,284664.398894513
"Asia","Europe","PICs","Vitamina","mcg",67076373.0531648,900,74529.3033924053
"Asia","Europe","PICs","Vitaminb12","mcg",21032423.1138127,2.4,8763509.6307553
"Asia","Oceania","Africa","Protein","g",451741459.186458,50,9034829.18372916
"Asia","Oceania","Africa","Fattyacids","g",28469790.6596106,1.4,20335564.7568647
"Asia","Oceania","Africa","Calcium","mg",1363911222.44671,1300,1049162.47880516
"Asia","Oceania","Africa","Zinc","mg",22487637.5033911,11,2044330.68212647
"Asia","Oceania","Africa","Iron","mg",36682603.2681002,18,2037922.40378335
"Asia","Oceania","Africa","Vitamina","mcg",737532866.499046,900,819480.962776718
"Asia","Oceania","Africa","Vitaminb12","mcg",232137819.301444,2.4,96724091.3756017
"Asia","Oceania","Americas","Protein","g",15175924160.1665,50,303518483.203329
"Asia","Oceania","Americas","Fattyacids","g",539863399.343336,1.4,385616713.816669
"Asia","Oceania","Americas","Calcium","mg",21559665002.0608,1300,16584357.6938929
"Asia","Oceania","Americas","Zinc","mg",500325710.560293,11,45484155.5054811
"Asia","Oceania","Americas","Iron","mg",740762675.347274,18,41153481.9637375
"Asia","Oceania","Americas","Vitamina","mcg",15010128252.8907,900,16677920.2809896
"Asia","Oceania","Americas","Vitaminb12","mcg",2987512277.02592,2.4,1244796782.09413
"Asia","Oceania","Asia","Protein","g",18953407388.7717,50,379068147.775433
"Asia","Oceania","Asia","Fattyacids","g",1153461382.53841,1.4,823900987.527438
"Asia","Oceania","Asia","Calcium","mg",41006618792.0464,1300,31543552.9169588
"Asia","Oceania","Asia","Zinc","mg",798688869.488759,11,72608079.0444326
"Asia","Oceania","Asia","Iron","mg",1265236114.1825,18,70290895.232361
"Asia","Oceania","Asia","Vitamina","mcg",23351541870.9207,900,25946157.6343563
"Asia","Oceania","Asia","Vitaminb12","mcg",7482897381.6875,2.4,3117873909.03646
"Asia","Oceania","Europe","Protein","g",8961700856.48143,50,179234017.129629
"Asia","Oceania","Europe","Fattyacids","g",411910616.496663,1.4,294221868.926188
"Asia","Oceania","Europe","Calcium","mg",10246276471.1826,1300,7881751.13167891
"Asia","Oceania","Europe","Zinc","mg",365364803.922285,11,33214982.1747531
"Asia","Oceania","Europe","Iron","mg",678124825.976669,18,37673601.4431483
"Asia","Oceania","Europe","Vitamina","mcg",9323180864.12686,900,10359089.8490298
"Asia","Oceania","Europe","Vitaminb12","mcg",3242062919.80107,2.4,1350859549.91711
"Asia","Oceania","Oceania","Protein","g",507731391.895738,50,10154627.8379148
"Asia","Oceania","Oceania","Fattyacids","g",30103451.3535864,1.4,21502465.2525617
"Asia","Oceania","Oceania","Calcium","mg",548846374.380926,1300,422189.518754559
"Asia","Oceania","Oceania","Zinc","mg",19497272.3685506,11,1772479.30623187
"Asia","Oceania","Oceania","Iron","mg",27855663.971342,18,1547536.88729678
"Asia","Oceania","Oceania","Vitamina","mcg",565451100.455013,900,628279.00050557
"Asia","Oceania","Oceania","Vitaminb12","mcg",152921416.381863,2.4,63717256.8257763
"Asia","Oceania","PICs","Protein","g",2656119414.05643,50,53122388.2811285
"Asia","Oceania","PICs","Fattyacids","g",265598946.541065,1.4,189713533.243618
"Asia","Oceania","PICs","Calcium","mg",7512769863.39714,1300,5779053.74107472
"Asia","Oceania","PICs","Zinc","mg",137085125.842921,11,12462284.1675383
"Asia","Oceania","PICs","Iron","mg",181452562.364969,18,10080697.909165
"Asia","Oceania","PICs","Vitamina","mcg",3691507035.6918,900,4101674.484102
"Asia","Oceania","PICs","Vitaminb12","mcg",1371781255.43067,2.4,571575523.096113
"Europe","Africa","PICs","Protein","g",83625166.4674758,50,1672503.32934952
"Europe","Africa","PICs","Fattyacids","g",7195801.72365552,1.4,5139858.37403966
"Europe","Africa","PICs","Calcium","mg",210346588.235227,1300,161805.067873252
"Europe","Africa","PICs","Zinc","mg",4278833.29878288,11,388984.845343898
"Europe","Africa","PICs","Iron","mg",6229683.17027134,18,346093.509459519
"Europe","Africa","PICs","Vitamina","mcg",157107478.968195,900,174563.865520217
"Europe","Africa","PICs","Vitaminb12","mcg",44649472.7541992,2.4,18603946.9809163
"Europe","Americas","PICs","Protein","g",182745757.036115,50,3654915.1407223
"Europe","Americas","PICs","Fattyacids","g",18846487.3433659,1.4,13461776.6738328
"Europe","Americas","PICs","Calcium","mg",227593829.387717,1300,175072.17645209
"Europe","Americas","PICs","Zinc","mg",7001740.59733838,11,636521.872485308
"Europe","Americas","PICs","Iron","mg",10891159.2778391,18,605064.404324395
"Europe","Americas","PICs","Vitamina","mcg",431934695.395794,900,479927.43932866
"Europe","Americas","PICs","Vitaminb12","mcg",75193092.3652021,2.4,31330455.1521676
"Europe","Asia","PICs","Protein","g",11084999246.4624,50,221699984.929247
"Europe","Asia","PICs","Fattyacids","g",567217167.631661,1.4,405155119.736901
"Europe","Asia","PICs","Calcium","mg",12527645554.2921,1300,9636650.42637854
