"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"SYR",21016467.7647059,"Net","vitamina",53858040561.0721,10533549.8848176,900,"mcg",59842267.2900802,2.84739890451889,11703.9443164639,0.000556893977023058
"SYR",21016467.7647059,"Net","vitaminb12",12712512168.7324,2486311.78735231,2.4,"mcg",5296880070.30516,252.034743878346,1035963.24473013,0.0492929285895455
"TCD",14269113,"Net","protein",0,0,50,"g",0,0,0,0
"TCD",14269113,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"TCD",14269113,"Net","calcium",0,0,1300,"mg",0,0,0,0
"TCD",14269113,"Net","zinc",0,0,11,"mg",0,0,0,0
"TCD",14269113,"Net","iron",0,0,18,"mg",0,0,0,0
"TCD",14269113,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"TCD",14269113,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"TGO",7504557.35294118,"Net","protein",126205110875.64,24683182.2561392,50,"g",2524102217.5128,336.342584752658,493663.645122785,0.0657818472037273
"TGO",7504557.35294118,"Net","fattyacids",8948727731.61341,1750191.22464569,1.4,"g",6391948379.72387,851.7422253051,1250136.58903264,0.166583654469998
"TGO",7504557.35294118,"Net","calcium",321062048015.965,62793281.4425904,1300,"mg",246970806.166127,32.9094434956026,48302.524186608,0.0064364254832002
"TGO",7504557.35294118,"Net","zinc",6014511574.7853,1176317.53858504,11,"mg",546773779.525936,72.8588981083135,106937.958053185,0.0142497355971667
"TGO",7504557.35294118,"Net","iron",6369445973.80295,1245735.57085917,18,"mg",353858109.65572,47.1524292524776,69207.5317143985,0.00922206713328332
"TGO",7504557.35294118,"Net","vitamina",151475320613.479,29625527.2077996,900,"mcg",168305911.792755,22.4271604409542,32917.2524531106,0.00438630167043893
"TGO",7504557.35294118,"Net","vitaminb12",32835589187.8472,6421981.06548937,2.4,"mcg",13681495494.9363,1823.09160307427,2675825.44395391,0.356560063186831
"THA",69909342.7647059,"Net","protein",1531198901571.52,299471719.45463,50,"g",30623978031.4304,438.05272400431,5989434.3890926,0.0856743054966381
"THA",69909342.7647059,"Net","fattyacids",71114752751.9059,13908615.8325652,1.4,"g",50796251965.6471,726.601766756872,9934725.59468943,0.142108696803613
"THA",69909342.7647059,"Net","calcium",7893430245884.47,1543796253.84011,1300,"mg",6071869419.91113,86.8534759416526,1187535.57987701,0.0169867936517999
"THA",69909342.7647059,"Net","zinc",69579698821.0531,13608390.1468909,11,"mg",6325427165.55028,90.4804267269368,1237126.37699008,0.0176961523033321
"THA",69909342.7647059,"Net","iron",92674596921.0323,18125287.87816,18,"mg",5148588717.83513,73.6466474182678,1006960.43767556,0.0144038035240109
"THA",69909342.7647059,"Net","vitamina",1751849804481.46,342626599.742121,900,"mcg",1946499782.75718,27.8431995750342,380696.22193569,0.00544557003227738
"THA",69909342.7647059,"Net","vitaminb12",465225215918.814,90988698.5955043,2.4,"mcg",193843839966.172,2772.78876184823,37911957.7481268,0.542301733199341
"TJK",8578658.47058824,"Net","protein",0,0,50,"g",0,0,0,0
"TJK",8578658.47058824,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"TJK",8578658.47058824,"Net","calcium",0,0,1300,"mg",0,0,0,0
"TJK",8578658.47058824,"Net","zinc",0,0,11,"mg",0,0,0,0
"TJK",8578658.47058824,"Net","iron",0,0,18,"mg",0,0,0,0
"TJK",8578658.47058824,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"TJK",8578658.47058824,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"TKM",5763686.35294118,"Net","protein",0,0,50,"g",0,0,0,0
"TKM",5763686.35294118,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"TKM",5763686.35294118,"Net","calcium",0,0,1300,"mg",0,0,0,0
"TKM",5763686.35294118,"Net","zinc",0,0,11,"mg",0,0,0,0
"TKM",5763686.35294118,"Net","iron",0,0,18,"mg",0,0,0,0
"TKM",5763686.35294118,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"TKM",5763686.35294118,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"TLS",1197189.58823529,"Net","protein",16057430829.0061,3140510.62566128,50,"g",321148616.580123,268.2520961893,62810.2125132257,0.0524647166417564
"TLS",1197189.58823529,"Net","fattyacids",855161779.969962,167252.450610202,1.4,"g",610829842.835687,510.21980882416,119466.036150144,0.0997887363239117
"TLS",1197189.58823529,"Net","calcium",63320674942.5201,12384250.9177626,1300,"mg",48708211.4942462,40.685461996077,9526.34685981737,0.00795725836027323
