"Country","Pop_avg","Source","category","net_flow_value","net_flow_value_daily","rec_intake_adults","unit","net_flow_rnis_total","rni_perc_pop_total","net_flow_rnis_daily","rni_perc_pop_daily"
"SVK",5419353.47058824,"Net","protein",0,0,50,"g",0,0,0,0
"SVK",5419353.47058824,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"SVK",5419353.47058824,"Net","calcium",0,0,1300,"mg",0,0,0,0
"SVK",5419353.47058824,"Net","zinc",0,0,11,"mg",0,0,0,0
"SVK",5419353.47058824,"Net","iron",0,0,18,"mg",0,0,0,0
"SVK",5419353.47058824,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"SVK",5419353.47058824,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"SVN",2068252.11764706,"Net","protein",0,0,50,"g",0,0,0,0
"SVN",2068252.11764706,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"SVN",2068252.11764706,"Net","calcium",0,0,1300,"mg",0,0,0,0
"SVN",2068252.11764706,"Net","zinc",0,0,11,"mg",0,0,0,0
"SVN",2068252.11764706,"Net","iron",0,0,18,"mg",0,0,0,0
"SVN",2068252.11764706,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"SVN",2068252.11764706,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"SWE",9843314.23529412,"Net","protein",2860008784.98267,559360.216112395,50,"g",57200175.6996535,5.81106874497178,11187.2043222479,0.00113652821141635
"SWE",9843314.23529412,"Net","fattyacids",90097589.5363405,17621.2770460279,1.4,"g",64355421.0973861,6.53798299627922,12586.6264614485,0.00127869802391536
"SWE",9843314.23529412,"Net","calcium",1326089483.94172,259356.441216844,1300,"mg",1020068.83380133,0.103630627796457,199.504954782188,2.02680672396747e-05
"SWE",9843314.23529412,"Net","zinc",110329873.350461,21578.3049775984,11,"mg",10029988.4864055,1.018964572973,1961.66408887259,0.000199288983566008
"SWE",9843314.23529412,"Net","iron",237918758.067163,46532.1255754279,18,"mg",13217708.781509,1.34281081204496,2585.11808752377,0.000262626796801283
"SWE",9843314.23529412,"Net","vitamina",1841856473.77194,360230.094616064,900,"mcg",2046507.19307993,0.207908347144094,400.255660684516,4.06626925765879e-05
"SWE",9843314.23529412,"Net","vitaminb12",1025290270.55729,200526.162831468,2.4,"mcg",427204279.398873,43.4004512288241,83552.5678464449,0.00848825566767536
"SWZ",1139587.76470588,"Net","protein",0,0,50,"g",0,0,0,0
"SWZ",1139587.76470588,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"SWZ",1139587.76470588,"Net","calcium",0,0,1300,"mg",0,0,0,0
"SWZ",1139587.76470588,"Net","zinc",0,0,11,"mg",0,0,0,0
"SWZ",1139587.76470588,"Net","iron",0,0,18,"mg",0,0,0,0
"SWZ",1139587.76470588,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"SWZ",1139587.76470588,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"SYC",95400.3529411765,"Net","protein",32894181.4616205,6433.44053620586,50,"g",657883.629232411,6.89602930125489,128.668810724117,0.0013487246824281
"SYC",95400.3529411765,"Net","fattyacids",-1333086.97895814,-260.725010553127,1.4,"g",-952204.984970099,-9.98114740264352,-186.232150395091,-0.00195211175486867
"SYC",95400.3529411765,"Net","calcium",108887493.111172,21296.2044027326,1300,"mg",83759.6100855169,0.877980086060718,16.3816956944097,0.000171715252505519
"SYC",95400.3529411765,"Net","zinc",-634637.093025047,-124.122255627821,11,"mg",-57694.2811840952,-0.604759619911148,-11.283841420711,-0.000118278822591658
"SYC",95400.3529411765,"Net","iron",-6853964.0766025,-1340.49757023323,18,"mg",-380775.782033472,-3.99134563231917,-74.4720872351794,-0.000780626957230427
"SYC",95400.3529411765,"Net","vitamina",69116853.303267,13517.8668694049,900,"mcg",76796.5036702967,0.804991819240429,15.0198520771165,0.000157440214989327
"SYC",95400.3529411765,"Net","vitaminb12",-36636882.8485894,-7165.43767819076,2.4,"mcg",-15265367.8535789,-160.013746102087,-2985.59903257949,-0.0312954715630915
"SYR",21016467.7647059,"Net","protein",0,0,50,"g",0,0,0,0
"SYR",21016467.7647059,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"SYR",21016467.7647059,"Net","calcium",0,0,1300,"mg",0,0,0,0
"SYR",21016467.7647059,"Net","zinc",0,0,11,"mg",0,0,0,0
"SYR",21016467.7647059,"Net","iron",0,0,18,"mg",0,0,0,0
"SYR",21016467.7647059,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"SYR",21016467.7647059,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"TCD",14269113,"Net","protein",0,0,50,"g",0,0,0,0
"TCD",14269113,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"TCD",14269113,"Net","calcium",0,0,1300,"mg",0,0,0,0
"TCD",14269113,"Net","zinc",0,0,11,"mg",0,0,0,0
"TCD",14269113,"Net","iron",0,0,18,"mg",0,0,0,0
"TCD",14269113,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"TCD",14269113,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"TGO",7504557.35294118,"Net","protein",0,0,50,"g",0,0,0,0
"TGO",7504557.35294118,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"TGO",7504557.35294118,"Net","calcium",0,0,1300,"mg",0,0,0,0
"TGO",7504557.35294118,"Net","zinc",0,0,11,"mg",0,0,0,0
"TGO",7504557.35294118,"Net","iron",0,0,18,"mg",0,0,0,0
"TGO",7504557.35294118,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"TGO",7504557.35294118,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"THA",69909342.7647059,"Net","protein",39463617242.4005,7718290.09239205,50,"g",789272344.848011,11.2899408524618,154365.801847841,0.00220808543955835
"THA",69909342.7647059,"Net","fattyacids",1191735189.2383,233079.442448328,1.4,"g",851239420.884501,12.1763327649857,166485.31603452,0.00238144587619512
"THA",69909342.7647059,"Net","calcium",15063941373.5005,2946204.06287904,1300,"mg",11587647.210385,0.165752483890252,2266.31081759926,3.24178532936147e-05
"THA",69909342.7647059,"Net","zinc",1487846733.96195,290992.907092108,11,"mg",135258793.996541,1.93477421825837,26453.900644737,0.000378402937269387
"THA",69909342.7647059,"Net","iron",3139298139.04152,613983.598482598,18,"mg",174405452.168973,2.49473740235222,34110.1999156999,0.00048792047767499
"THA",69909342.7647059,"Net","vitamina",23112693409.0496,4520378.13593772,900,"mcg",25680770.4544995,0.36734389766663,5022.64237326413,7.1845080709296e-05
"THA",69909342.7647059,"Net","vitaminb12",13499864537.1086,2640302.08040457,2.4,"mcg",5624943557.12857,80.4605412478338,1100125.86683524,0.0157364641595607
"TJK",8578658.47058824,"Net","protein",0,0,50,"g",0,0,0,0
"TJK",8578658.47058824,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"TJK",8578658.47058824,"Net","calcium",0,0,1300,"mg",0,0,0,0
"TJK",8578658.47058824,"Net","zinc",0,0,11,"mg",0,0,0,0
"TJK",8578658.47058824,"Net","iron",0,0,18,"mg",0,0,0,0
"TJK",8578658.47058824,"Net","vitamina",0,0,900,"mcg",0,0,0,0
"TJK",8578658.47058824,"Net","vitaminb12",0,0,2.4,"mcg",0,0,0,0
"TKM",5763686.35294118,"Net","protein",0,0,50,"g",0,0,0,0
"TKM",5763686.35294118,"Net","fattyacids",0,0,1.4,"g",0,0,0,0
"TKM",5763686.35294118,"Net","calcium",0,0,1300,"mg",0,0,0,0
"TKM",5763686.35294118,"Net","zinc",0,0,11,"mg",0,0,0,0
"TKM",5763686.35294118,"Net","iron",0,0,18,"mg",0,0,0,0
"TKM",5763686.35294118,"Net","vitamina",0,0,900,"mcg",0,0,0,0
