"SourceContinent","ExporterContinent","ConsumerContinent","Nutrient","Unit","Value"
"Americas","PICs","PICs","Vitamina","mcg",108478808.169692
"Americas","PICs","PICs","Vitaminb12","mcg",48024940.4643777
"Asia","Africa","PICs","Protein","g",237688920.19886
"Asia","Africa","PICs","Fattyacids","g",14683336.5220405
"Asia","Africa","PICs","Calcium","mg",736785995.20226
"Asia","Africa","PICs","Zinc","mg",11546013.5219871
"Asia","Africa","PICs","Iron","mg",18097702.9588717
"Asia","Africa","PICs","Vitamina","mcg",317563246.994061
"Asia","Africa","PICs","Vitaminb12","mcg",106727553.226501
"Asia","Americas","PICs","Protein","g",1036814588.28989
"Asia","Americas","PICs","Fattyacids","g",105949733.019783
"Asia","Americas","PICs","Calcium","mg",1910445095.53795
"Asia","Americas","PICs","Zinc","mg",57223312.6063891
"Asia","Americas","PICs","Iron","mg",67927306.6486929
"Asia","Americas","PICs","Vitamina","mcg",1308883887.71394
"Asia","Americas","PICs","Vitaminb12","mcg",457134035.224152
"Asia","Asia","PICs","Protein","g",133123757758.093
"Asia","Asia","PICs","Fattyacids","g",10578774809.3728
"Asia","Asia","PICs","Calcium","mg",324156080670.445
"Asia","Asia","PICs","Zinc","mg",6581030784.81959
"Asia","Asia","PICs","Iron","mg",9915392543.31164
"Asia","Asia","PICs","Vitamina","mcg",187123281480.696
"Asia","Asia","PICs","Vitaminb12","mcg",63589330966.7914
"Asia","Europe","PICs","Protein","g",71250391.0351081
"Asia","Europe","PICs","Fattyacids","g",2041298.04396213
"Asia","Europe","PICs","Calcium","mg",48187234.905982
"Asia","Europe","PICs","Zinc","mg",2731230.56220814
"Asia","Europe","PICs","Iron","mg",5123959.18010124
"Asia","Europe","PICs","Vitamina","mcg",67076373.0531648
"Asia","Europe","PICs","Vitaminb12","mcg",21032423.1138127
"Asia","Oceania","PICs","Protein","g",1515475069.81406
"Asia","Oceania","PICs","Fattyacids","g",120470147.344891
"Asia","Oceania","PICs","Calcium","mg",6470055977.22124
"Asia","Oceania","PICs","Zinc","mg",78414007.6424986
"Asia","Oceania","PICs","Iron","mg",103374313.242818
"Asia","Oceania","PICs","Vitamina","mcg",2140214305.14989
"Asia","Oceania","PICs","Vitaminb12","mcg",755639638.376299
"Asia","PICs","Africa","Protein","g",451741459.186458
"Asia","PICs","Africa","Fattyacids","g",28469790.6596106
"Asia","PICs","Africa","Calcium","mg",1363911222.44671
"Asia","PICs","Africa","Zinc","mg",22487637.5033911
"Asia","PICs","Africa","Iron","mg",36682603.2681002
"Asia","PICs","Africa","Vitamina","mcg",737532866.499046
"Asia","PICs","Africa","Vitaminb12","mcg",232137819.301444
"Asia","PICs","Americas","Protein","g",15175924160.1665
"Asia","PICs","Americas","Fattyacids","g",539863399.343336
"Asia","PICs","Americas","Calcium","mg",21559665002.0608
"Asia","PICs","Americas","Zinc","mg",500325710.560293
"Asia","PICs","Americas","Iron","mg",740762675.347274
"Asia","PICs","Americas","Vitamina","mcg",15010128252.8907
"Asia","PICs","Americas","Vitaminb12","mcg",2987512277.02592
"Asia","PICs","Asia","Protein","g",18953407388.7717
"Asia","PICs","Asia","Fattyacids","g",1153461382.53841
"Asia","PICs","Asia","Calcium","mg",41006618792.0464
"Asia","PICs","Asia","Zinc","mg",798688869.488759
"Asia","PICs","Asia","Iron","mg",1265236114.1825
"Asia","PICs","Asia","Vitamina","mcg",23351541870.9207
"Asia","PICs","Asia","Vitaminb12","mcg",7482897381.6875
"Asia","PICs","Europe","Protein","g",8961700856.48143
"Asia","PICs","Europe","Fattyacids","g",411910616.496663
"Asia","PICs","Europe","Calcium","mg",10246276471.1826
"Asia","PICs","Europe","Zinc","mg",365364803.922285
"Asia","PICs","Europe","Iron","mg",678124825.976669
"Asia","PICs","Europe","Vitamina","mcg",9323180864.12686
"Asia","PICs","Europe","Vitaminb12","mcg",3242062919.80107
"Asia","PICs","Oceania","Protein","g",507731391.895738
"Asia","PICs","Oceania","Fattyacids","g",30103451.3535864
"Asia","PICs","Oceania","Calcium","mg",548846374.380926
"Asia","PICs","Oceania","Zinc","mg",19497272.3685506
"Asia","PICs","Oceania","Iron","mg",27855663.971342
"Asia","PICs","Oceania","Vitamina","mcg",565451100.455013
"Asia","PICs","Oceania","Vitaminb12","mcg",152921416.381863
"Asia","PICs","PICs","Protein","g",1140644344.24236
"Asia","PICs","PICs","Fattyacids","g",145128799.196175
"Asia","PICs","PICs","Calcium","mg",1042713886.1759
"Asia","PICs","PICs","Zinc","mg",58671118.2004224
"Asia","PICs","PICs","Iron","mg",78078249.1221518
"Asia","PICs","PICs","Vitamina","mcg",1551292730.54192
"Asia","PICs","PICs","Vitaminb12","mcg",616141617.054373
"Asia","PICs",NA,"Protein","g",696217.265208825
"Asia","PICs",NA,"Fattyacids","g",12234.0556156607
"Asia","PICs",NA,"Calcium","mg",643784.236391374
"Asia","PICs",NA,"Zinc","mg",18736.3189340505
"Asia","PICs",NA,"Iron","mg",24992.5156729317
"Asia","PICs",NA,"Vitamina","mcg",521449.251851107
