"SourceContinent","ExporterContinent","ConsumerContinent","year","Nutrient","Unit","Value"
"Africa","Asia","PICs",2009,"Vitaminb12","mcg",48093270.2395828
"Africa","Asia","PICs",2010,"Protein","g",50903637.1609974
"Africa","Asia","PICs",2010,"Fattyacids","g",3953853.00835262
"Africa","Asia","PICs",2010,"Calcium","mg",154514233.870009
"Africa","Asia","PICs",2010,"Zinc","mg",2652495.49949486
"Africa","Asia","PICs",2010,"Iron","mg",4402108.53340036
"Africa","Asia","PICs",2010,"Vitamina","mcg",80775620.8488219
"Africa","Asia","PICs",2010,"Vitaminb12","mcg",28587025.1983001
"Africa","Asia","PICs",2011,"Protein","g",68167024.6093237
"Africa","Asia","PICs",2011,"Fattyacids","g",5340942.55993305
"Africa","Asia","PICs",2011,"Calcium","mg",177331931.461905
"Africa","Asia","PICs",2011,"Zinc","mg",4081538.71234575
"Africa","Asia","PICs",2011,"Iron","mg",5117019.27053162
"Africa","Asia","PICs",2011,"Vitamina","mcg",102243019.908637
"Africa","Asia","PICs",2011,"Vitaminb12","mcg",38005447.2992976
"Africa","Asia","PICs",2012,"Protein","g",53064092.5168523
"Africa","Asia","PICs",2012,"Fattyacids","g",3957647.39846662
"Africa","Asia","PICs",2012,"Calcium","mg",128089481.175837
"Africa","Asia","PICs",2012,"Zinc","mg",3200960.04819883
"Africa","Asia","PICs",2012,"Iron","mg",4375398.24267907
"Africa","Asia","PICs",2012,"Vitamina","mcg",75649170.8108488
"Africa","Asia","PICs",2012,"Vitaminb12","mcg",29659076.6861743
"Africa","Asia","PICs",2013,"Protein","g",91237289.1323162
"Africa","Asia","PICs",2013,"Fattyacids","g",8012223.91260568
"Africa","Asia","PICs",2013,"Calcium","mg",310948703.644307
"Africa","Asia","PICs",2013,"Zinc","mg",5570116.60060756
"Africa","Asia","PICs",2013,"Iron","mg",8847171.50761639
"Africa","Asia","PICs",2013,"Vitamina","mcg",186328971.88004
"Africa","Asia","PICs",2013,"Vitaminb12","mcg",65558240.924604
"Africa","Asia","PICs",2014,"Protein","g",73537222.2306857
"Africa","Asia","PICs",2014,"Fattyacids","g",5188907.8192021
"Africa","Asia","PICs",2014,"Calcium","mg",223731939.678593
"Africa","Asia","PICs",2014,"Zinc","mg",4141664.52404641
"Africa","Asia","PICs",2014,"Iron","mg",5500717.11426816
"Africa","Asia","PICs",2014,"Vitamina","mcg",94611704.1212681
"Africa","Asia","PICs",2014,"Vitaminb12","mcg",35462878.5530877
"Africa","Asia","PICs",2015,"Protein","g",62017802.2707952
"Africa","Asia","PICs",2015,"Fattyacids","g",5310371.02833594
"Africa","Asia","PICs",2015,"Calcium","mg",207083593.342175
"Africa","Asia","PICs",2015,"Zinc","mg",3329748.0134059
"Africa","Asia","PICs",2015,"Iron","mg",5324604.53924157
"Africa","Asia","PICs",2015,"Vitamina","mcg",99972050.0980565
"Africa","Asia","PICs",2015,"Vitaminb12","mcg",35046602.4934233
"Africa","Asia","PICs",2016,"Protein","g",194049625.682825
"Africa","Asia","PICs",2016,"Fattyacids","g",15276104.7585191
"Africa","Asia","PICs",2016,"Calcium","mg",733998004.604512
"Africa","Asia","PICs",2016,"Zinc","mg",11220898.4142774
"Africa","Asia","PICs",2016,"Iron","mg",16272149.234935
"Africa","Asia","PICs",2016,"Vitamina","mcg",230310923.999942
"Africa","Asia","PICs",2016,"Vitaminb12","mcg",92282808.5011593
"Africa","Asia","PICs",2017,"Protein","g",114310512.908005
"Africa","Asia","PICs",2017,"Fattyacids","g",7851488.48582026
"Africa","Asia","PICs",2017,"Calcium","mg",389420214.34938
"Africa","Asia","PICs",2017,"Zinc","mg",6383794.91941617
"Africa","Asia","PICs",2017,"Iron","mg",9385268.90191799
"Africa","Asia","PICs",2017,"Vitamina","mcg",121151077.087386
"Africa","Asia","PICs",2017,"Vitaminb12","mcg",49812615.1959526
"Africa","Asia","PICs",2018,"Protein","g",164117171.878791
"Africa","Asia","PICs",2018,"Fattyacids","g",9829058.70244702
"Africa","Asia","PICs",2018,"Calcium","mg",429635044.669778
"Africa","Asia","PICs",2018,"Zinc","mg",8191161.13207278
"Africa","Asia","PICs",2018,"Iron","mg",11604244.3159027
"Africa","Asia","PICs",2018,"Vitamina","mcg",166282027.893409
"Africa","Asia","PICs",2018,"Vitaminb12","mcg",63872333.2316712
"Africa","Asia","PICs",2019,"Protein","g",67897420.2374867
"Africa","Asia","PICs",2019,"Fattyacids","g",4861432.76822121
"Africa","Asia","PICs",2019,"Calcium","mg",218115886.422368
"Africa","Asia","PICs",2019,"Zinc","mg",3572856.384231
"Africa","Asia","PICs",2019,"Iron","mg",5345130.64714176
"Africa","Asia","PICs",2019,"Vitamina","mcg",76738116.3560652
"Africa","Asia","PICs",2019,"Vitaminb12","mcg",29832812.1502556
"Africa","Asia","PICs",2020,"Protein","g",17365375.2267206
"Africa","Asia","PICs",2020,"Fattyacids","g",754953.170316234
"Africa","Asia","PICs",2020,"Calcium","mg",19109042.8163819
"Africa","Asia","PICs",2020,"Zinc","mg",694413.328122455
"Africa","Asia","PICs",2020,"Iron","mg",1429342.97237239
"Africa","Asia","PICs",2020,"Vitamina","mcg",14378041.7246266
"Africa","Asia","PICs",2020,"Vitaminb12","mcg",6535322.04414563
"Africa","Europe","PICs",2007,"Protein","g",1699394.8853484
